cohort,name,type,PDX,PC1,PC2,pseudotime,Subtype,LibraryType
PDX,SRR8528478,LuCaP_23.1,TRUE,47.45490051,-16.1779257,177.547403,ARPC,PAIRED
PDX,SRR8528479,LuCaP_23.1,TRUE,48.70947854,-17.94254732,176.8274928,ARPC,PAIRED
PDX,SRR8528480,LuCaP_23.1,TRUE,45.00674916,-9.191590406,181.7571737,ARPC,PAIRED
PDX,SRR8528481,LuCaP_35CR,TRUE,61.18047095,-31.87055566,174.5805264,ARPC,PAIRED
PDX,SRR8528482,LuCaP_35CR,TRUE,60.68248007,-30.13512642,175.6054969,ARPC,PAIRED
PDX,SRR8528483,LuCaP_35CR,TRUE,61.97182372,-29.00236069,175.9847147,ARPC,PAIRED
PDX,SRR8528484,LuCaP_49,TRUE,69.00954929,21.24617159,208.4160863,NEPC,PAIRED
PDX,SRR8528485,LuCaP_49,TRUE,67.62246925,22.01438938,209.0688668,NEPC,PAIRED
PDX,SRR8528486,LuCaP_70CR,TRUE,66.56672989,-20.59470182,181.1588877,ARPC,PAIRED
PDX,SRR8528487,LuCaP_70CR,TRUE,65.62926626,-10.74199119,185.9416771,ARPC,PAIRED
PDX,SRR8528488,LuCaP_73CR,TRUE,73.18251133,-20.06112266,182.8610089,ARPC,PAIRED
PDX,SRR8528489,LuCaP_73CR,TRUE,73.91680488,-2.94531628,191.5096137,ARPC,PAIRED
PDX,SRR8528490,LuCaP_77CR,TRUE,58.80898653,-31.43448255,174.2599008,ARPC,PAIRED
PDX,SRR8528491,LuCaP_77CR,TRUE,60.5591293,-33.49890023,174.2599008,ARPC,PAIRED
PDX,SRR8528492,LuCaP_78CR,TRUE,59.89604995,-36.85922371,172.5348714,ARPC,PAIRED
PDX,SRR8528493,LuCaP_78CR,TRUE,57.30523897,-26.21962225,175.9847147,ARPC,PAIRED
PDX,SRR8528494,LuCaP_81CR,TRUE,65.24793983,-29.55641223,176.8593245,ARPC,PAIRED
PDX,SRR8528495,LuCaP_81CR,TRUE,62.55340749,-13.11367392,183.9391727,ARPC,PAIRED
PDX,SRR8528496,LuCaP_93,TRUE,68.51376629,17.36446159,205.3123888,NEPC,PAIRED
PDX,SRR8528497,LuCaP_93,TRUE,65.5338239,20.44609027,208.219014,NEPC,PAIRED
PDX,SRR8528498,LuCaP_96CR,TRUE,71.0664398,-9.065534225,187.7216153,ARPC,PAIRED
PDX,SRR8528499,LuCaP_96CR,TRUE,68.11946692,-6.389520455,188.5766299,ARPC,PAIRED
PDX,SRR8528500,LuCaP_96CR,TRUE,64.93198841,-12.23105993,184.6090816,ARPC,PAIRED
PDX,SRR8528501,LuCaP_105CR,TRUE,64.06269221,-19.23850665,181.1588877,ARPC,PAIRED
PDX,SRR8528502,LuCaP_105CR,TRUE,67.11641503,-35.74691541,175.3526871,ARPC,PAIRED
PDX,SRR8528503,LuCaP_136CR,TRUE,62.76396087,-8.910896875,186.3342559,ARPC,PAIRED
PDX,SRR8528504,LuCaP_136CR,TRUE,60.4981182,-18.96742782,180.1461897,ARPC,PAIRED
PDX,SRR8528505,LuCaP_145.1,TRUE,71.71434827,13.64708706,202.1528566,NEPC,PAIRED
PDX,SRR8528506,LuCaP_145.1,TRUE,67.68569014,13.79652429,202.7164703,NEPC,PAIRED
PDX,SRR8528507,LuCaP_145.2,TRUE,68.20510853,18.86716783,206.7046987,NEPC,PAIRED
PDX,SRR8528508,LuCaP_145.2,TRUE,67.99607973,17.23700212,205.3123888,NEPC,PAIRED
PDX,SRR8528509,LuCaP_147CR,TRUE,69.44243835,-3.795206892,190.3064418,ARPC,PAIRED
PDX,SRR8528510,LuCaP_147CR,TRUE,65.75414139,-17.33445831,182.4421996,ARPC,PAIRED
PDX,SRR8528511,LuCaP_173.1,TRUE,60.34834306,23.70526565,211.7817387,NEPC,PAIRED
PDX,SRR8528512,LuCaP_173.1,TRUE,60.75492266,23.77670532,211.7685918,NEPC,PAIRED
PDX,SRR8528513,LuCaP_173.2,TRUE,40.06240811,39.17393528,231.1327561,DNPC,PAIRED
PDX,SRR8528514,LuCaP_173.2,TRUE,63.30119027,21.85060046,209.708612,DNPC,PAIRED
PDX,SRR8528515,LuCaP_176,TRUE,57.28756262,13.22254632,203.2166029,DNPC,PAIRED
PDX,SRR8528516,LuCaP_176,TRUE,56.02617305,11.59659031,201.8615188,DNPC,PAIRED
PDX,SRR9842104,LuCaP_173.2_SPC,TRUE,37.63035694,29.92636017,222.9830264,DNPC,PAIRED
PDX,SRR9842105,LuCaP_173.2_ADE,TRUE,43.21455613,30.09820601,221.533166,DNPC,PAIRED
PDX,SRR9842106,LuCaP_173.2_SPC,TRUE,35.63323203,33.07295277,226.6708007,DNPC,PAIRED
PDX,SRR9842107,LuCaP_173.2_ADE,TRUE,53.56705343,23.56714859,212.9024796,DNPC,PAIRED
PDX,LTL310,LTL310,TRUE,61.75470186,-43.7529058,171.1599388,PRIMARY,PAIRED
PDX,LTL467,LTL467,TRUE,62.60707977,-32.46026753,175.0303126,PRIMARY,PAIRED
PDX,LTL471,LTL471,TRUE,57.72128262,-41.51132394,170.8098098,PRIMARY,PAIRED
PDX,LTL508,LTL508,TRUE,66.17619631,-38.58729682,174.2599008,PRIMARY,PAIRED
