"sample","subtype","pseudotime","type","MXI1-202","MXI1","MXI1-214","MXI1-201"
"LTL310","PRIMARY",171.159938759637,"LTL310",2.83275223620418,4.37319274424855,0,3.53336257270379
"LTL467","PRIMARY",175.030312607835,"LTL467",1.09188715580439,4.51781688000362,1.04327967792035,3.89168306568031
"LTL471","PRIMARY",170.809809839485,"LTL471",3.07118736994752,4.56948269525388,0,3.67472834537017
"LTL508","PRIMARY",174.259900812215,"LTL508",2.72881752304455,4.50721908986382,0,3.76878637601475
"SRR8528478","ARPC",177.547402976647,"LuCaP_23.1",4.0009624213417,6.4521572934979,2.37003179343572,4.07306228633819
"SRR8528479","ARPC",176.827492758321,"LuCaP_23.1",3.81276794002388,6.4313779477478,0,4.32410118865808
"SRR8528480","ARPC",181.757173745676,"LuCaP_23.1",4.18144116367407,6.85871855435471,3.85355861140483,4.73642296451023
"SRR8528481","ARPC",174.580526420013,"LuCaP_35CR",3.55514189764215,6.03758010500856,0,4.14530731723962
"SRR8528482","ARPC",175.6054968751,"LuCaP_35CR",3.96148262670588,6.22991169665029,3.33502480690845,3.87370992369603
"SRR8528483","ARPC",175.984714715046,"LuCaP_35CR",2.7986461587421,6.05533387290384,2.42604438594707,3.17920831802085
"SRR8528484","NEPC",208.415974275221,"LuCaP_49",3.87320052862253,5.96362276610422,0,2.30149399534697
"SRR8528485","NEPC",209.068754764394,"LuCaP_49",3.61027173325654,5.73616869303804,0,2.66074595461019
"SRR8528486","ARPC",181.158887657006,"LuCaP_70CR",3.76650813532998,6.04331348387365,0,2.21828519708076
"SRR8528487","ARPC",185.941637853161,"LuCaP_70CR",3.96949632126181,6.02758536184221,0,3.24400483811185
"SRR8528488","ARPC",182.861008948248,"LuCaP_73CR",2.44089700913492,5.094264630941,0,3.1944717028063
"SRR8528489","ARPC",191.509574386539,"LuCaP_73CR",2.78558383303279,5.25652104821182,0,2.42400218327521
"SRR8528490","ARPC",174.259900812215,"LuCaP_77CR",1.32139574016028,5.64631837373008,3.25428628055145,3.80181300127782
"SRR8528491","ARPC",174.259900812215,"LuCaP_77CR",1.60738772378045,5.74958655063187,1.42703773098735,4.17418745067656
"SRR8528492","ARPC",172.534871401783,"LuCaP_78CR",2.00454039633903,5.6303138183809,2.77561023387642,4.19824738585494
"SRR8528493","ARPC",175.984714715046,"LuCaP_78CR",0.905358789893351,4.93159867950752,2.94609528717462,2.29303270287257
"SRR8528494","ARPC",176.8593245325,"LuCaP_81CR",4.91196423347714,7.60562147236824,3.80819541316659,4.84425735660928
"SRR8528495","ARPC",183.939133394572,"LuCaP_81CR",4.62978296302741,6.89983627103216,2.06717283064907,4.43344924281237
"SRR8528496","NEPC",205.31227681224,"LuCaP_93",4.26338518133784,6.6485622181569,0,3.12339164241166
"SRR8528497","NEPC",208.218901952294,"LuCaP_93",4.32860695057629,6.72144128073162,3.16593018435823,3.53120696609944
"SRR8528498","ARPC",187.721576060979,"LuCaP_96CR",2.65938393481429,4.78007155825844,0,1.79390536635421
"SRR8528499","ARPC",188.576590637714,"LuCaP_96CR",1.82114741074175,4.2131845164684,3.56898371043137,1.16126893597788
"SRR8528500","ARPC",184.609042336468,"LuCaP_96CR",2.70301243511596,4.77559853094088,3.61829091695404,1.28865233194424
"SRR8528501","ARPC",181.158887657006,"LuCaP_105CR",0.247802138417291,4.79616165139897,0,2.8213086441676
"SRR8528502","ARPC",175.352687119342,"LuCaP_105CR",2.84394858150364,6.03951564393877,2.98307752960883,4.6059332143041
"SRR8528503","ARPC",186.334216617208,"LuCaP_136CR",2.81717957560123,5.74853246419562,0,2.89775197334243
"SRR8528504","ARPC",180.146189673149,"LuCaP_136CR",3.40259216622083,5.67584243591424,3.25919997343478,1.97998840460125
"SRR8528505","NEPC",202.152744577367,"LuCaP_145.1",2.34968267126607,5.23806697497257,0,3.34310214759641
"SRR8528506","NEPC",202.716358251735,"LuCaP_145.1",1.83318244598092,5.29775690822828,0,3.72601138718002
"SRR8528507","NEPC",206.704586723384,"LuCaP_145.2",3.04542032561022,5.45207729449933,2.87407493768177,3.30717827171597
"SRR8528508","NEPC",205.31227681224,"LuCaP_145.2",2.20078131378825,4.94399455616537,0,1.75012112021647
"SRR8528509","ARPC",190.306402486533,"LuCaP_147CR",2.51104764398145,4.9760034081237,2.30314461470793,2.21445656406485
"SRR8528510","ARPC",182.442199645405,"LuCaP_147CR",4.21833601600223,6.63707269122374,3.88825758453183,3.84618952996117
"SRR8528511","NEPC",211.781625651306,"LuCaP_173.1",2.91049636468296,4.95722255297752,1.57162265390293,2.64350652824383
"SRR8528512","NEPC",211.768478744029,"LuCaP_173.1",2.93525031761352,5.11267723511039,0,2.96071005424023
"SRR8528513","DNPC",231.132643070355,"LuCaP_173.2",1.91477089403084,3.91262789140653,2.13114164270652,0.61091431121109
"SRR8528514","DNPC",209.708499961724,"LuCaP_173.2",3.10900371030058,5.13019933507811,0,0
"SRR8528515","DNPC",203.216490897686,"LuCaP_176",3.38257288597485,5.57840672590134,2.72246641487336,3.29651526132471
"SRR8528516","DNPC",201.861406843302,"LuCaP_176",3.53735288953653,5.77807350273905,3.24391911377609,3.71419010119563
"SRR9842104","DNPC",222.982913370965,"LuCaP_173.2_SPC",3.48458541289293,5.58385421196634,2.87088743380539,2.13205904978225
"SRR9842105","DNPC",221.533052929831,"LuCaP_173.2_ADE",2.91939112221885,4.94716096677878,1.75609810362318,2.2448491911316
"SRR9842106","DNPC",226.670687612101,"LuCaP_173.2_SPC",3.0654203108218,5.25956214877646,3.17096396869514,1.74076898842976
"SRR9842107","DNPC",212.902366502274,"LuCaP_173.2_ADE",3.04806140846667,4.88994971182399,0,1.17183319411217
